"Label";"Demography - Average population of the year - France (including Mayotte since 2014)";"Codes"
"idBank";"001641584";""
"Period";"";""
"2019";"67020703";"P"
"2018";"66930732";"P"
"2017";"66829122";"P"
"2016";"66688564";"A"
"2015";"66512557";"A"
"2014";"66276671";"A"
"2013";"65735871";"A"
"2012";"65402999";"A"
"2011";"65087321";"A"
"2010";"64773170";"A"
"2009";"64458720";"A"
"2008";"64133180";"A"
"2007";"63781275";"A"
"2006";"63393404";"A"
"2005";"62958327";"A"
"2004";"62490800";"A"
"2003";"62037546";"A"
"2002";"61604550";"A"
"2001";"61163240";"A"
"2000";"60724780";"A"
"1999";"60315408";"A"
"1998";"60011006";"A"
"1997";"59795262";"A"
"1996";"59589295";"A"
"1995";"59383995";"A"
"1994";"59175327";"A"
"1993";"58961040";"A"
"1992";"58711620";"A"
"1991";"58425686";"A"
"1990";"58138268";"A"
"1989";"57827972";"A"
"1988";"57492298";"A"
"1987";"57168661";"A"
"1986";"56866102";"A"
"1985";"56582342";"A"
"1984";"56305462";"A"
"1983";"56035818";"A"
"1982";"55739042";"A"
